en	vi	description
Laplace transform; computing transfer function with		, 9-11
Laplace transforms		, xi, 9-10–9-12
Laplacian matrix		, 3-37
Lasalle’s invariance principle		, see Krasovski-Lasalle principle
lead		, see phase lead
lead compensation		, 12-18–12-21, 12-36, 12-41
learn		, 14-24
limit cycle		, 4-27, 5-7, 5-16, 5-17, 5-29, 10-22
linear quadratic control		, 7-25–7-29, 8-18, 8-27, 13-24–13-25
linear system		, 2-1
linear systems		, 3-4, 3-11, 4-10, 5-11, 6-1–6-34, 8-14, 9-4, 9-33, 10-20
linear temporal logic		, 14-10
linear time-invariant systems		, 3-4, 3-11, 6-4
linearity		, 6-3, 9-24
linearization		, 5-15, 5-23, 6-2, 6-28–6-33, 8-23, 13-1
Lipschitz continuity		, 5-4
load disturbances		, see also disturbances, 12-1, 13-13
load sensitivity function		, 12-3
local behavior		, 5-9, 5-15, 5-24, 5-27, 6-29
locally asymptotically stable		, 5-9
logic and sequencing		, 14-34
logistic growth model		, 4-25, 4-26, 4-30
loop analysis		, 10-1, 12-1
loop gain		, 10-12
loop shaping		, 10-4, 12-16–12-21, 12-38, 13-23; design rules, 12-18; fundamental limitations, 12-25–12-34; zz, see also Bode’s loop transfer function
loop transfer function		, see also Bode’s loop transfer function, 10-1–10-4, 10-12, 10-20, 12-1, 12-4, 12-16, 12-17, 12-19, 12-31, 12-38
Lotus Notes server		, see e-mail; server
low-order models		, 11-7
low-pass filter		, 9-29, 11-20
LQ control		, see linear quadratic control
LTI systems		, see linear time-invariant systems, 2-2
Lyapunov equation		, 5-20, 5-35
Lyapunov functions		, 5-17, 5-18, 5-20, 5-21, 5-27, 5-34, 6-35; design of controllers using, 5-25, 5-31; existence of, 5-20
Lyapunov stability analysis		, 3-23, 5-17–5-26, 5-33; discrete time, 5-35
magnitude		, 2-4
manifold		, 5-26
margins		, see stability margins
materials science		, 1-8
Mathematica		, 3-21, 5-29, 6-34
MATLAB		, 1-27, 3-21, 5-29, 6-34, 7-35; acker, 7-15, 8-11; dlqe, 8-18; dlqr, 7-29; hinfsyn, 13-26; jordan, 6-10; linmod, 6-30; lqr, 7-26; place, 7-15, 7-24, 8-11; trim, 6-30
matrix exponential		, 6-6–6-9, 6-13, 6-15, 6-33, 6-34; coordinate transformations, 6-18; Jordan form, 6-10; second-order systems, 6-34
maximum		, 14-17
maximum complementary; sensitivity		, 13-8, 13-19
maximum selector		, 1-22
maximum sensitivity		, 12-14, 13-6, 13-20
measured signals		, 3-6, 3-11, 5-1, 8-1, 8-14, 8-26, 12-2, 12-4, 13-25
measurement noise		, 1-5, 1-17, 8-1, 8-3, 8-17, 8-19, 9-20, 11-20, 12-1–12-3, 12-17, 13-13; response to, 12-15–12-16, 13-13
mechanical systems		, 3-6, 3-13, 3-22, 3-30, 3-40, 6-32
mechanics		, 3-2–3-3, 3-5, 5-32, 6-1
median selectors		, 14-17
mid-range control		, 14-15, 14-16
minimal model; (insulin-glucose)		, see also insulin-glucose dynamics, 4-24, 4-25
minimum		, 14-17
minimum phase		, 10-17, 10-24, 12-25
minimum selector		, 1-22
mixed integer solvers		, 14-11
mixed logical dynamical		, 14-11
model checking		, 14-13
model following		, 14-15
Modelica		, 3-7
modeling		, 1-6, 3-1–3-10, 3-40, 4-1; control perspective, 3-5; discrete control, 3-35; discrete-time, 3-15, 6-27–6-28; frequency domain, 9-1–9-3; from experiments, 3-27–3-28; model reduction, 1-6; normalization and scaling, 3-28; of uncertainty, 3-9–3-10; simplified models, use of, 3-6, 11-7, 13-2, 13-8, 13-9; software for, 3-7, 6-30, 6-33; state space, 3-11–3-23; uncertainty, see uncertainty
modes		, 6-12–6-14, 9-13; relationship to poles, 9-14
monotone step responses		, 11-12
motion control systems		, 3-30–3-33, 8-27
motors		, electric, 3-44, 7-34, 8-29
multi-input		, multi-output systems, see also input/output models, 10-20, 12-4, 12-18
multiplicative uncertainty		, 13-3, 13-10
nanopositioner (AFM)		, 10-15, 13-20
natural frequency		, 7-19, 11-8
negative definite function		, 5-18
negative feedback		, 1-3, 1-14, 4-9, 7-10, 10-1, 11-6
Nernst’s law		, 3-40
networking		, see also congestion control, 1-9, 3-24, 4-16
neural systems		, 1-8, 3-26, 3-39, 11-6
neutral stability		, 5-8–5-10
Newton		, I., 3-2
Nichols		, N. B., 6-33, 11-10, 11-11, 12-38
Nichols chart		, 13-24
Nobel Prize		, 1-8, 3-40, 4-17
noise		, see disturbances; measurement noise
noise attenuation		, 9-30, 12-15–12-16
noise cancellation		, 5-31
noise sensitivity function		, 12-3
nonlinear systems		, 3-6, 5-1, 5-4, 5-7, 5-15, 5-17, 5-21, 5-27–5-32, 8-2, 8-22, 8-23, 10-20, 10-21; linear approximation, 5-15, 5-23, 6-29, 6-36, 13-1; system identification, 3-42
nonminimum phase		, see also inverse response, 10-16, 10-17, 10-26, 12-25–12-27
nonunique solutions (ODEs)		, 5-3
normalized coordinates		, 3-28–3-30, 3-42, 6-31
norms		, 10-19–10-20
Nyquist		, 1-7
Nyquist		, H., 10-1, 10-23
Nyquist criterion		, 10-5, 10-7, 10-9, 10-12, 10-20, 10-21, 11-11; for robust stability, 13-6, 13-31
Nyquist D contour		, 10-4, 10-10
Nyquist plot		, 10-4–10-5, 10-12, 10-13, 11-11, 12-14, 13-24
observability		, 3-6, 8-1–8-2, 8-14, 8-27; rank condition, 8-3; tests for, 8-2–8-3; unobservable systems, 8-4, 8-14–8-16, 9-36
observability matrix		, 8-3, 8-5
observable canonical form		, 8-4, 8-5, 8-27
observer gain		, 8-7, 8-9–8-11, 8-13, 8-18, 8-19
observers		, 8-1, 8-6–8-9, 8-19, 8-23; block diagram, 8-2, 8-10; zz, see also Kalman filter
ODEs		, see differential equations
Ohm’s law		, 3-40, 4-9, 9-6
on-off control		, 1-18
open loop		, 1-1, 4-9, 7-2, 9-22, 10-1, 11-15, 12-1, 12-13, 13-3
open loop gain		, 9-7, 12-12
operational amplifiers		, 4-7–4-11, 9-7, 11-21, 13-10; circuits, 4-28, 6-24, 10-2, 13-14; dynamic model, 4-10, 9-7; input/output characteristics, 4-8; oscillator using, 4-28, 5-35; static model, 4-8, 9-7
optimal control		, 7-25, 8-17, 8-19, 13-25
order		, of a model, 3-11, 3-12
ordinary differential equations		, see differential equations
oscillator dynamics		, 4-28, 5-2, 5-3, 6-7, 6-8, 7-18, 9-5, 9-10; normal form, 3-42; zz, see also nanopositioner (AFM); spring-mass system
outer loop control		, 12-35–12-37
output feedback		, see also control: using estimated state; loop shaping; PID control, 8-11, 8-12, 8-27
output sensitivity function		, see noise sensitivity function
outputs		, see measured signals
overdamped oscillator		, 7-18
overshoot		, 6-21, 7-10, 7-20, 12-12
P control		, 2-8, 2-9
Padé approximation		, 10-26, 12-27
paging control (computing)		, 3-35
pairing problem		, 14-21
parallel connection		, 2-7, 9-19
parallel systems		, 14-22–14-23
parametric stability diagram		, 5-28–5-30
parametric uncertainty		, 3-9, 13-1
particular solution		, see also forced response, 2-2, 6-3, 6-22, 9-5; transfer function, 2-2
passive systems		, 10-21, 12-30
passivity theorem		, 10-21
patch clamp		, 1-8
PD control		, 2-29, 11-4, 12-18, 12-19
peak frequency		, 6-26, 12-12
pendulum dynamics		, see also inverted pendulum, 5-19
perfect adaptation		, 11-6
perfect control		, 14-21
performance		, 4-12
performance limitations		, 12-25, 12-30, 13-20, 13-27; due to right half-plane poles and zeros, 10-17; zz, see also control: fundamental limitations
performance specifications		, see also overshoot; maximum sensitivity; resonant peak; rise time; settling time, 6-21, 7-10, 12-1, 12-12–12-16, 12-18, 13-12
periodic solutions		, see differential equations; limit cycles
persistant excitation		, 14-26
persistence		, of a web connection, 4-12, 4-13
Petri net		, 3-24
pharmacokinetics		, see also drug administration, 4-21, 4-25
phase		, see also minimum phase; nonminimum phase, 2-4, 3-23, 6-23, 6-24, 7-21, 9-3, 9-6, 9-24, 10-22; minimum vs. nonminimum, 10-16
phase crossover frequency		, 10-13
phase curve (Bode plot)		, 9-24–9-26, 9-28; relationship to gain curve, 10-16, 12-17
phase lag		, 6-23, 6-24, 9-29, 10-17, 12-26, 12-28
phase lead		, 6-23, 9-29, 12-21, 12-41
phase margin		, 10-13, 10-14, 12-17, 12-19, 12-26, 12-41, 13-29; from Bode plot, 10-13; reasonable values, 10-14
phase portrait		, 3-3, 5-4–5-6, 5-27
Philbrick		, G. A., 4-11
photoreceptors		, 11-6
physics		, relationship to; control, 1-6
PI control		, 1-13, 1-19, 2-9, 2-10, 2-20, 4-1, 4-4, 11-4, 11-10, 12-18, 12-19; first-order system, 11-8, 13-18
PID control		, 1-18–1-19, 11-1–11-24, 12-21; block diagram, 11-2, 11-4, 11-17; computer implementation, 11-22; feedforward signal, 11-16; ideal form, 11-1, 11-24; implementation, 11-4, 11-19–11-24;,in biological systems, 11-5; op amp implementation, 11-21–11-22; tuning, 11-10–11-15; zz, see also derivative action; integral action
pitchfork bifurcation		, 5-37
planar dynamical systems		, see also second-order systems, 5-5, 5-10
pole and zeros		, 9-13–9-16
pole excess		, 12-22
pole placement		, see also eigenvalue assignment, 7-11, 13-15, 13-19–13-20; robust, 13-15
pole zero diagram		, 9-14
pole/zero cancellations		, 9-16–9-18, 9-36, 12-4, 13-20
poles		, 2-4, 9-13, 9-14; dominant, see also dominant; eigenvalues (poles), 11-10; fast stable, 13-18, 13-20; pure imaginary, 10-5, 10-10; relationship to eigenvalues, 9-13; right half-plane, 9-14, 10-10, 10-17, 12-25, 12-27–12-30, 12-41, 13-20
poles and zeros		, 9-13
population dynamics		, see also predator-prey system, 4-25–4-27, 4-30
positive definite function		, 5-18, 5-20, 5-24
positive definite matrix		, 5-20, 7-25
Positive feedback		, 1-3
positive feedback		, 1-3, 1-17, 2-18, 2-20, 5-36, 11-4
positive real (transfer function)		, 12-30
power of a matrix		, 6-6
power systems		, electric, 1-6–1-7, 3-43, 5-7, 5-34
predator-prey system		, 3-15, 4-26–4-27, 5-28, 7-15
prediction		, in controllers, see also derivative action, 1-19, 8-23, 11-5, 13-29
prediction time		, 11-5
principle of the argument		, see variation of the argument, principle of
process control		, 1-8, 3-24
program synthesis		, 14-13
Programmable Logic Controller (PLC)		, 14-34–14-35
proportional (P) control		, 2-8
proportional control		, see also PID control, 1-18, 1-19, 2-8, 11-1
proportional		, integral, derivative control, see PID control
proportional-derivative (PD) controller		, 2-29
Proportional-Integral Control		, 2-10
protocol		, see congestion control; consensus
pulse signal		, see also impulse function, 6-16, 6-17, 7-22
pupil response		, 9-32, 11-5
pure exponential solution		, 9-5
Q-value		, 3-42, 7-20, 9-27
quantitative feedback theory (QFT)		, 13-23–13-24
quarter car model		, 9-37
queuing systems		, 3-33–3-35, 3-43
random process		, 3-33, 8-17, 8-18, 8-29
reachability		, 3-6, 7-1–7-9, 7-32, 8-14; rank condition, 7-4; tests for, 7-3; unreachable systems, 7-5, 7-34, 8-14–8-16, 9-36
reachability matrix		, 7-3, 7-8
reachable canonical form		, 3-12, 7-6–7-9, 7-13, 7-14, 7-33
reachable set		, 7-1
real-time systems		, 1-6
reason		, 14-24
receding horizon control		, 14-7
reference signal		, see also command signals; setpoint, 1-18, 7-10, 9-1, 9-20, 11-1, 11-20, 12-3; effect on observer error, 8-12, 8-16, 8-22; response to, 12-12, 12-13, 12-39
tracking		, 7-10, 8-21, 8-22, 12-17, 13-14
reference weighting		, see setpoint weighting
region of attraction		, see equilibrium points: regions of attraction
regulation problem		, 2-8
regulator		, see control law
relative gain array		, 14-21–14-22
relay feedback		, 10-23, 11-14
Reno (protocol)		, see Internet; congestion control
repetitive control		, 14-15
repressilator		, 3-39
repressor		, 1-12, 3-39, 3-43, 5-21, 6-36, 9-30
requirements		, 14-2
reset logic		, 3-8
reset		, in PID control, 11-3, 11-4
resonant frequency		, 7-20, 10-20
resonant peak		, 6-26, 7-20, 12-12, 13-9
resource usage		, in computing systems, 3-34, 3-36, 4-11, 4-12
response		, see input/output models
retina		, see also pupil response, 11-6
Riccati equation		, 7-26, 8-19, 13-26, 13-28
Riemann sphere		, 13-5
right half plane zero		, 12-9
right half-plane poles and zeros		, see poles: right half-plane; zeros: right half-plane
rise time		, 6-21, 7-10, 7-20, 12-12
robotics		, 1-8–1-9, 6-33
robustness		, 1-12–1-14, 11-5, 12-12, 13-3, 13-28; performance, 13-12–13-15, 13-23–13-28; stability, 13-6–13-12; using gain and phase margin, 10-14, 12-17; using maximum sensitivity, 12-14, 12-17, 13-7, 13-29, 13-31; using pole placement, 13-15–13-23; via gain and phase margin, 10-14; zz, see also uncertainty
roll-off		, see high-frequency roll-off
root locus		, 12-21; asymptotes, 12-40; initial direction, 12-40; real line segment, 12-40
root locus diagram		, 5-29, 5-30
root locus method		, 12-21
Routh-Hurwitz stability criterion		, 2-5–2-6
rush-hour effect		, 3-35, 3-43
saddle (equilibrium point)		, 5-10
safety		, 14-17
sampling		, 6-27, 8-25, 8-26, 11-23
saturation function		, see also actuators: saturation, 3-25, 4-8, 11-23
scaling		, see normalized; coordinates
scanning tunneling microscope		, 4-17
schematic diagrams		, 3-23, 3-24, 4-7
Schitter		, G., 4-20
second-order systems		, 3-2, 6-34, 7-18–7-21, 7-35, 9-26, 9-27, 11-10
Segway Personal Transporter		, 3-13, 7-4
selector		, 1-22
selector control		, 14-15, 14-17; of air-fuel, 1-22
selector		, maximum, 1-22
selector		,minimum, 1-22
self-activation		, 5-36
self-optimization		, 14-18
self-repression		, 6-36, 9-29
semidefinite function		, 5-18
sensitivity; to modeling errors		, 2-24, 2-25; 
sensitivity crossover frequency		, 12-14; sensitivity function, 2-25, 12-3, 12-14, 12-15, 12-17, 12-30, 13-6, 13-14, 13-20; and disturbance attenuation, 12-14, 12-30, 12-39
sensor matrix		, 3-11, 3-15
sensor networks		, 3-36
sensors		, 1-5, 8-2, 8-25, 10-17, 11-22, 12-1, 12-4, 12-27, 12-28, 13-25; effect on zeros, 10-17, 12-29; in computing systems, 4-11; zz, see also measured
signals		
separation principle		, 8-13
series connection		, 2-7, 9-19
service rate (queuing systems)		, 3-33
servo problem		, 2-12
setpoint		, 11-1
setpoint weighting		, 11-20–11-21, 11-24
settling time		, 6-21, 6-35, 7-10, 7-20, 12-12
similarity of two systems		, 13-3–13-6
simplified notation exponential functions		, 9-5
simulation		, 3-10, 3-20–3-21
SIMULINK		, 6-30
simultaneous positioning and mapping (SLAM)		, 14-28
single-input		, single-output (SISO) systems, 5-1, 6-2, 6-3, 6-29, 8-4, 10-20
singular values		, 10-19, 10-20, 13-30
sink (equilibrium point)		, 5-10
SLAM		, 14-28
small gain theorem		, 10-20–10-21, 13-9
Smith predictor		, 13-29, 14-20
software tools for control		, x
solution (ODE)		, see differential equations: solutions
source (equilibrium point)		, 5-10
spectrum analyzer		, 9-31
Sperry autopilot		, 1-15
spring-mass system		, 3-2, 3-20, 3-21, 3-23, 4-18, 5-34; coupled, 6-14, 6-18; generalized, 3-13, 4-7; identification, 3-27; normalization, 3-28, 3-42; zz, see also oscillator; dynamics
stability		, 1-5, 1-6, 1-14, 1-15, 2-5, 3-21, 5-4, 5-8–5-26; asymptotic stability, 5-8, 5-13; conditional, 10-9; in the sense of Lyapunov, 5-8; local versus global, 5-9, 5-16, 5-27; Lyapunov analysis, see Lyapunov stability; analysis; neutrally stable, 5-8, 5-10; of a system, 5-11; of equilibrium points, 3-22, 5-8, 5-10, 5-17, 5-18, 5-23; of feedback loop, see Nyquist criterion; of limit cycles, 5-16; of linear systems, 5-11–5-14, 5-20, 6-10; of solutions, 5-8, 5-9, 5-17; of transfer functions, 9-14; robust, see robust stability; unstable solutions, 5-9; using eigenvalues, 5-23, 6-10, 6-11; using linear approximation, 5-14, 5-23, 6-30; using state feedback, 7-9–7-29; zz, see also bifurcations; equilibrium points
stability diagram		, see parametric stability diagram
stability margin (quantity)		, 10-13, 10-14, 12-14, 12-41, 13-7, 13-26; reasonable values, 10-14
stability margins (concept)		, 10-12–10-16, 10-25, 12-17
stable		, 2-5
stable pole		, 9-14
stable zero		, 9-14
Stark		, L., 9-32
state		, of a dynamical system, 3-2, 3-6, 3-11
state estimators		, see observers
state feedback		, see also eigenvalue assignment; linear quadratic control, 7-1–7-32, 8-7, 8-12, 8-21–8-23, 8-25–8-27, 13-16, 13-25, 14-15
state space		, 3-2, 3-11–3-23, 7-9
state vector		, 3-2, 3-11
static gain		, 2-4
steady state gain		, 2-4
steady state solution		, 9-5
steady-state gain		, see zero; frequency gain, 9-13
steady-state response		, 1-28, 3-21, 6-19–6-27, 6-36, 7-11, 7-20, 9-2, 9-31, 9-33
steam engines		, 1-2, 1-13
steering		, see vehicle steering
Stein		, G., xii, 12-1, 12-31
step input		, 3-4, 6-5, 6-20, 9-13
step response		, 2-2, 3-4, 3-5, 3-27, 3-28, 6-5, 6-17, 6-20, 6-21, 7-10, 7-19, 7-20, 11-11
stochastic systems		, 8-17, 8-19
summing junction		, 3-25
superposition		, 3-4, 6-3, 6-17, 6-34, 9-2
supervised learning		, 14-27
supervisory control		, see decision making: higher levels of
supply chains		, 1-11
supremum (sup)		, 10-20
switching behavior		, 1-3, 3-43, 5-23, 5-24, 13-28
system identification		, 3-27, 3-28, 3-42, 9-31
system inversion		, 2-23, 12-10; approximate, 12-10
system response		, 2-4
tapping mode		, see atomic force microscope
TCP/IP		, see Internet; congestion control
temporal logic		, 14-10
Teorell		, T., 4-21, 4-25
the relative gain array		, 14-22
three-term controllers		, see also PID control, 11-2
thrust vectored aircraft		, see vectored thrust aircraft
time constant		, 2-2
time constant		, first-order system, 6-35
time delay		, 1-10, 9-9, 9-10, 10-15, 10-17, 11-11, 11-12, 11-22, 12-27, 12-28; compensation for, 13-29, 13-30; Padé approximation, 10-26, 12-27
time invariant		, 2-1
time plot		, 3-3
time-invariant systems		, 3-4, 3-11, 5-33, 6-4–6-5
tracking		, see reference signal: tracking
tracking mode		, 11-18
trail (bicycle dynamics)		, 4-6, 4-7
transcription factors		, 3-38
transcriptional regulation		, see gene regulation
transfer function		, 2-3
transfer functions		, 9-1–9-33; common systems, 9-10; derivation using exponential signals, 9-4; for control systems, 9-20, 9-36; for electrical circuits, 9-6; for time delay, 9-9; frequency response, 9-2, 9-24; from experiments, 9-31; impulse response, 9-12; irrational, 9-9; Laplace
transforms		, 9-11; linear input/output systems, 9-4, 9-10, 9-36; looptracing, 9-21; simplified notation, 9-5; state space; model, 9-11
transient response		, 3-21, 6-20, 6-21, 6-23, 7-2, 7-23
Transmission Control Protocol (TCP)		, 4-13
transmission zero		, 2-4
Tsien		, H. S., 1-9
tuning rules		, see Ziegler-Nichols tuning, 11-26
Tustin		, A., 2-1
two degree-of-freedom control		, 8-22, 11-2, 12-5, 12-38, 12-39
two degrees of freedom		, 2-14, 2-25
two degrees of freedom		, 2 DOF, 2-24
two-out-of-three selectors		, 14-17
uncertainty		, 1-5, 1-13–1-14, 3-6, 3-9–3-10, 7-30, 13-1–13-6; component or parameter variation, 1-5, 3-9, 13-1; disturbances and noise, 1-5, 3-6, 7-10, 9-20, 12-1; unmodeled dynamics, 1-5, 3-9, 13-2, 13-8; zz, see also additive
uncertainty; feedback uncertainty; multiplicative uncertainty		
uncertainty band		, 3-9
uncertainty lemon		, 3-9, 4-4, 4-10, 4-20
undamped natural frequency		, 2-11
underdamped oscillator		, 5-3, 7-19, 7-20
unit step		, 6-20
unmodeled dynamics		, see uncertainty: unmodeled dynamics, 2-11; effect for control, 2-12
unstable pole		, see poles: right half-plane
unstable pole/zero; cancellation		, 9-17
unstable solution		, for a dynamical system, 5-9, 5-10, 5-13, 6-10, 9-14
unstable zero		, see zeros: right half-plane
unsupervised learning		, 14-27
variation of the argument		, principle of, 10-11, 10-24
vector field		, 3-3, 5-5
vectored thrust aircraft		, 3-32–3-33, 6-11, 7-26, 8-20, 9-36, 12-20, 12-35
vehicle steering		, 3-30–3-32, 6-30, 7-11, 8-9, 8-13, 8-23, 9-22, 10-18, 10-25, 12-6, 13-16; ship dynamics, 3-30
vehicle suspension		, see also coupled spring-mass system, 9-37
vertical contract		, 14-11
vertical takeoff and landing		, see vectored thrust aircraft
vibration absorber		, 9-38
Vinnicombe		, G., 12-38, 13-5, 13-28
Vinnicombe metric		, 13-3–13-6
voltage clamp		, 1-8, 1-9, 3-40
waterbed effect		, 12-30, 12-31
Watt governor		, see centrifugal governor
Watt steam engine		, 1-3, 1-13
web server control		, 4-11–4-13, 7-27
web site		, companion, x
Whipple		, F. J. W., 4-7
Wiener		, N., 1-9
winding number		, 10-11
window size (TCP)		, 4-14, 4-16, 5-10
windup		, see integrator windup; cascade control, 14-16; selector control, 14-17
Wright		, W., 1-15
Wright Flyer		, 1-7, 1-15
X-29 aircraft		, 12-31
Youla parameterization		, 13-10–13-12
zero; blocking property		, 2-4
zero frequency gain		, 2-4, 6-25, 7-11, 7-14, 7-20, 9-13, 11-12
zeros		, 2-4, 9-13; Bode plot for, 9-36; effect of sensors and actuators on, 10-17, 10-18, 12-29; for a state space system, 9-14; right half-plane, 9-14, 10-17, 12-25–12-29, 12-31, 12-41, 13-19
signal-blocking property		, 9-13
slow stable		, 13-16, 13-17, 13-19
Ziegler		, J. G., 11-10, 11-11, 11-24
Ziegler-Nichols tuning		, 11-11–11-14, 11-24; frequency response, 11-11
improved method		, 11-12
step response		, 11-11
